KO,KEGG Name,KO Description,EC14,NW18,CC15,SW10,CC35,SW8,CC34,SC1,CC7,SW19,CC27,NE9,EC9
K01990,ABC-2.A, ABC-2 type transport system ATP-binding protein,3418.093924,5715.368716,4951.494196,4783.866938,4321.774512,4740.619839,4254.572338,5045.624667,5670.608232,4590.446471,5237.915081,4742.112231,5487.302595
K12132,"prkC, stkP", eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1],5341.970518,4398.677902,7662.642038,4318.870619,5438.072505,5007.458894,4006.729226,5776.949166,2504.145714,2559.891421,2765.633117,2420.362745,5856.577273
K01992,ABC-2.P, ABC-2 type transport system permease protein,2709.508095,4127.196126,3801.996476,3801.042744,3393.820897,3989.707481,3395.858284,3913.972408,4394.099069,3521.390788,3583.543732,3643.486412,4066.065427
K02035,ABC.PE.S, peptide/nickel transport system substrate-binding protein,2737.022646,3370.888889,4358.461534,3496.724225,5554.101472,2795.894764,3595.719018,4286.856406,3770.557705,1955.458373,2908.92708,2064.875021,3788.406358
K02004,ABC.CD.P, putative ABC transport system permease protein,3000.781839,2790.62344,4232.553731,3614.753795,2887.759897,3564.3531,2692.474995,3230.115898,2946.704121,1925.906589,1960.7501,2897.863995,3460.953253
K06147,ABCB-BAC," ATP-binding cassette, subfamily B, bacterial",1617.18966,3013.800833,2350.692849,2612.009583,2426.415405,2010.367309,2363.432807,2588.71724,2439.262345,1926.189612,2944.39605,1483.449088,2501.6391
K00059,"fabG, OAR1", 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],1851.83649,2360.191245,2286.238031,1957.984789,2532.286523,1895.08865,2179.672757,2205.455808,2297.631915,2211.562087,1932.186801,1638.762115,2144.689356
K06994,K06994, putative drug exporter of the RND superfamily,1144.597894,2643.325766,2347.666205,1641.124646,1786.07332,2374.450625,2030.040083,2196.801558,3182.471548,2139.69196,2089.265073,1212.906722,2497.178917
K01999,livK, branched-chain amino acid transport system substrate-binding protein,1433.277353,2138.401709,2427.203108,2578.355113,3733.679207,1753.136566,2336.019307,2777.001338,1646.735976,1281.577367,1012.514923,1453.82876,2199.869318
K03088,rpoE," RNA polymerase sigma-70 factor, ECF subfamily",1618.439446,2175.944043,2023.338935,2290.195128,1742.538827,2041.762493,1724.430122,2175.973425,2498.959771,1913.493483,1930.050101,1386.27314,2130.16443
K01897,"ACSL, fadD", long-chain acyl-CoA synthetase [EC:6.2.1.3],1402.141441,2379.920859,2086.722636,1756.806666,2008.590489,1837.109262,1902.343701,2036.705211,2000.378114,1939.424121,1324.294564,1861.768008,2348.832269
K02027,ABC.MS.S, multiple sugar transport system substrate-binding protein,1123.425855,2413.546312,1985.946021,1767.23175,2039.093706,1192.910844,2116.590031,1826.356064,3328.179921,1086.696595,2299.081573,993.1973509,2001.605355
K02033,ABC.PE.P, peptide/nickel transport system permease protein,1484.090927,1771.231965,2081.73412,2096.146042,2417.621736,1409.12033,1944.291267,2158.643103,2225.228993,1122.362651,1746.780371,1239.329048,1843.573726
K01652,"E2.2.1.6L, ilvB, ilvG, ilvI", acetolactate synthase I/II/III large subunit [EC:2.2.1.6],1379.634804,2261.226674,2368.08963,1684.44003,2679.161619,1460.037568,1789.228975,2273.911365,1394.682002,1200.356208,1056.895553,1452.189423,2274.31588
K01915,"glnA, GLUL", glutamine synthetase [EC:6.3.1.2],1171.469668,2295.781657,2259.095136,1630.651713,2240.811609,1411.305042,1595.528367,2345.372217,1756.102465,1291.60803,979.4651681,1283.955078,2677.278754
K00626,"E2.3.1.9, atoB", acetyl-CoA C-acetyltransferase [EC:2.3.1.9],1380.091231,2364.135051,1754.015741,1412.850691,1671.76661,1312.564411,1680.952929,1916.713062,1759.686628,2286.089919,1540.198645,1613.915596,2137.166537
K01768,E4.6.1.1, adenylate cyclase [EC:4.6.1.1],1412.690025,1903.341811,2222.640426,1236.867995,3307.351982,1579.296115,1672.721299,2209.015825,1258.938107,1532.922118,596.2405111,1136.220594,2257.558702
K03657,"uvrD, pcrA", DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12],1347.622502,2478.796907,1874.11638,1649.263152,1729.873469,1536.798874,1361.688404,1925.637214,1584.102881,1525.599773,1355.37704,1443.67825,2338.51198
K01997,livH, branched-chain amino acid transport system permease protein,1116.999224,1870.679632,1859.718412,1724.813489,2527.260141,1424.62756,1793.299367,2223.346606,1340.463865,1538.523986,1068.741625,1458.603046,1816.019923
K02003,ABC.CD.A, putative ABC transport system ATP-binding protein,1593.963412,1555.524412,1956.588542,1687.59732,1534.029122,1885.399993,1563.707346,1666.455142,1758.286149,1560.1838,1414.508665,1514.311121,1860.028893
K02051,ABC.SN.S, NitT/TauT family transport system substrate-binding protein,867.7883938,1215.251625,2433.470626,1611.4396,6207.653059,1613.098178,1716.84591,1520.709295,944.4219843,553.7617433,531.0885995,689.8992003,1612.187207
K02034,ABC.PE.P1, peptide/nickel transport system permease protein,1501.536804,1557.11035,1842.841709,1797.09554,2014.56183,1303.017262,1789.361469,1904.196627,1955.754915,990.7057845,1728.825309,1160.893707,1657.155439
K01996,livF, branched-chain amino acid transport system ATP-binding protein,1069.077253,1818.691584,1538.434866,1551.887302,2178.463456,1253.525619,1687.693421,1930.829026,1346.056583,2350.42129,1297.780118,1432.356617,1689.284352
K01995,livG, branched-chain amino acid transport system ATP-binding protein,1100.358392,1772.834529,1616.966101,1713.343393,2362.223591,1403.205958,1674.17052,1990.332155,1333.976942,1599.043305,1161.845935,1429.931186,1641.595385
K02031,ddpD, peptide/nickel transport system ATP-binding protein,1025.5868,1782.700101,1601.896387,1805.940807,1647.880569,1228.670694,1889.304003,1919.277072,2092.642686,1006.208531,1524.989271,1184.484492,1588.14988
K02067,"mlaD, linM", phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein,1210.171327,2325.867565,843.2845999,926.1893323,932.8325596,1128.032951,1497.948505,831.6533964,1573.193925,4615.607271,1817.094613,1092.849527,1185.110373
K03520,"coxL, cutL", aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3],1021.055481,1717.345071,2082.245325,1572.48744,2931.203832,1318.50395,1552.351252,1891.049706,1231.831076,786.789114,763.4055953,820.2929153,2091.74971
K01989,ABC.X4.S, putative ABC transport system substrate-binding protein,316.1033881,274.4348674,1597.517471,442.1036118,12542.95893,1011.078455,725.7076451,1363.920735,189.0400608,142.5469544,5.46407487,207.9911802,895.5417175
K01895,"ACSS1_2, acs", acetyl-CoA synthetase [EC:6.2.1.1],1030.91894,1915.991256,1806.128447,1484.003439,1765.608907,1508.461627,1327.10312,1879.128546,1316.412727,1042.156583,978.2919763,1332.499809,2088.219363
K01998,livM, branched-chain amino acid transport system permease protein,1008.427999,1679.815334,1761.557469,1676.347515,2311.486849,1293.510527,1504.592342,2012.106278,1309.076167,1103.918555,859.0331417,1272.116397,1648.593782
K02355,"fusA, GFM, EFG", elongation factor G,1097.263781,1962.623961,1911.756832,1616.982627,1754.380775,1364.491776,1375.058579,2019.207455,1109.758164,1036.15813,861.736746,922.1285961,2363.121979
K00666,K00666, fatty-acyl-CoA synthase [EC:6.2.1.-],1324.797432,1750.488225,1414.672423,1525.793383,1450.16767,1164.664576,1421.567411,1399.6844,1372.087989,1456.876306,1803.366888,1048.12243,1441.59889
K03046,rpoC, DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],978.4780374,1864.051649,1800.863914,1534.222105,1577.219753,1179.482454,1210.317623,1902.458322,1119.868541,1076.029358,800.3217451,986.8652757,2232.057662
K02025,ABC.MS.P, multiple sugar transport system permease protein,956.6388473,1588.426812,1367.373378,1317.668893,1543.545043,841.6326067,1707.063015,1357.803002,2572.131314,848.5993466,1970.0843,738.814004,1403.55224
K00249,"ACADM, acd", acyl-CoA dehydrogenase [EC:1.3.8.7],1100.535312,1905.311641,1428.858646,1215.002379,1449.050974,1054.294237,1486.386872,1599.462345,1477.531527,1737.167013,1134.25485,972.0406929,1562.877379
K03701,uvrA, excinuclease ABC subunit A,1227.375089,1642.576549,1918.353399,1607.162489,1811.896222,1250.860466,1192.423488,1743.37875,943.244522,774.8601585,662.7235418,982.5722978,2184.188666
K03043,rpoB, DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],960.2308706,1788.972849,1812.773491,1522.680562,1645.665687,1191.019907,1258.337354,1773.030898,1050.397273,926.3313431,780.6336165,934.2937988,2263.018032
K00525,"E1.17.4.1A, nrdA, nrdE", ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],1092.518899,1711.04765,1618.30928,1490.696606,1416.64284,1309.868532,1217.867729,1732.829433,1117.45558,973.6573588,813.2572529,1096.948498,1990.441128
K02274,"coxA, ctaD", cytochrome c oxidase subunit I [EC:7.1.1.9],922.657994,1626.888655,1603.526442,1701.946902,1545.674854,1308.84285,1281.617457,1684.492472,945.8823755,893.190505,1090.117581,1021.559114,1905.734155
K02026,ABC.MS.P1, multiple sugar transport system permease protein,837.6299225,1577.424723,1348.691808,1372.461679,1328.360814,808.9082048,1622.26756,1262.970667,2519.947368,800.5116489,2020.356286,656.5831748,1322.561061
K01971,ligD, bifunctional non-homologous end joining protein LigD [EC:6.5.1.1],1215.024305,1673.612972,1659.132157,1456.345062,1558.958074,1330.400725,1214.872144,1655.606107,1043.764954,1123.076328,684.4123881,1042.831748,1805.175056
K03086,rpoD, RNA polymerase primary sigma factor,985.649885,1762.624444,1593.204678,1308.94778,1820.169465,1185.860295,1056.591104,1721.584362,1067.300192,1132.290414,933.3841397,836.5500918,1938.193418
K00384,"trxB, TRR", thioredoxin reductase (NADPH) [EC:1.8.1.9],892.1318484,1530.331869,1778.860488,1351.594198,1886.714818,1346.1574,1172.942018,1661.818558,1207.032465,934.9755547,694.6571732,1087.911483,1696.889916
K03798,"ftsH, hflB", cell division protease FtsH [EC:3.4.24.-],910.653868,1819.558388,1560.597852,1412.64553,1544.002855,1201.247049,1115.099506,1519.148932,1100.406609,1028.05353,846.2043311,908.1378414,1849.783679
K00548,"metH, MTR", 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13],978.4635951,1667.833552,1633.07312,1370.207148,1447.459601,1169.722997,1094.443792,1700.687204,1161.953993,877.9893348,670.6457768,1115.577434,1885.91246
K01784,"galE, GALE", UDP-glucose 4-epimerase [EC:5.1.3.2],1145.565526,1521.305056,1410.88616,1218.333278,1403.83147,1239.472762,1160.737414,1528.936682,1172.985756,1273.549679,1033.411771,1015.148616,1524.266974
K03924,moxR, MoxR-like ATPase [EC:3.6.3.-],1159.065378,1451.947074,1597.09521,1239.272021,1313.491478,1148.826424,1069.084327,1649.461645,1115.85394,1207.672731,917.4175432,1021.987436,1685.904437
