Sample,V,Zn,Cr,Cu,Pb,Ni,PLI,Mn,Fe,Al,pH,OM,TN,AP,AS
CC1,66,47.2425,117.66,21.5925,19.2825,13.17,1.116697957,600.85,97.19,47.6,7.324,7.57,3.45,7.37,3.68
CC11,108.531,97.713,86.247,21.285,59.319,7.668,1.082581302,280.41,17.91,25.85,6.358,10.25,4.25,0,4.63
CC12,73.8,64.3725,50.325,21.735,30,151.0575,1.646286181,698.64,13.36,3.69,8.482,14.76,6.12,4.58,2.06
CC14,291.18,634.28,1080,65.56,73.57,14.532,4.527662739,7480,32.51,16.09,7.378,11.01,4.23,4.1,203.79
CC15,35.02,47.33,61.22,2.07,31.07,24.51,0.566990359,315.75,18.89,37.31,8.256,3.76,1.32,7.02,20.7
CC17,893.5,77.8625,169.55,42.7875,20.05,8,1.271294296,678.04,10.9,21.42,6.26,27.2,1.06,0,16.34
CC18,118.413,808.614,93.852,42.219,343.269,16.623,2.701414238,690.99,123.52,12.35,8.316,12.33,2.58,19.88,16.2
CC19,180.63,130.47,478.76,170.94,197.54,2.624,2.452209103,1430,11.43,5.36,7.3,15.82,3.65,22.39,3.27
CC2,407.4,36.48,50.5,7.42,27.52,4.12,0.750192248,548.78,10.65,24.42,6.87,12.38,6.58,15.89,0
CC20,40.57,56.54,46.25,8.88,30.25,13.79,0.673042014,426.81,100.98,183.24,6.212,25.13,2.25,14.41,33.15
CC22,59.23,82.07,139.77,33.1,43.8,26.93,1.329577756,742.39,15.75,24.62,8.138,8.14,7.36,3.65,5.65
CC24,175.63,98.56,239.8,27.83,25.78,110.716,2.088649989,1410,100,292.57,7.736,11.64,1.23,5.8,6.21
CC25,780.85,65.35,79.1,4.575,42.675,11.19,0.840328716,343.19,83.74,247.6,6.341,30.27,1.25,0,26.19
CC28,317.19,116.22,217.7,20.97,35.58,7.956,1.453664583,771.98,33.17,31.56,8.662,7.96,1.23,0.8,46.85
