Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0001,Scaffold1,G_bin431,+,620,1102,483,Lrp/AsnC family transcriptional regulator,COG1522,K,lrp,K03719,"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",-,-,-,-,-,-
gene0002,Scaffold1,G_bin431,-,1962,1099,864,aldo/keto reductase,COG0667,C,E1.1.1.65,K05275,pyridoxine 4-dehydrogenase [EC:1.1.1.65],-,-,-,-,-,-
gene0003,Scaffold1,G_bin431,-,2501,2019,483,Lrp/AsnC family transcriptional regulator,COG1522,K,-,-,-,-,-,-,-,-,-
gene0004,Scaffold1,G_bin431,+,2618,3727,1110,alanine dehydrogenase,COG0686,E,ald,K00259,alanine dehydrogenase [EC:1.4.1.1],-,-,-,-,-,-
gene0005,Scaffold1,G_bin431,-,4438,4205,234,metalloregulator ArsR/SmtB family transcription factor,COG0640,K,-,-,-,-,-,-,-,-,-
gene0006,Scaffold1,G_bin431,-,4837,4628,210,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0007,Scaffold1,G_bin431,-,6741,4900,1842,ABC transporter ATP-binding protein,COG1132,V,ABCB-BAC,K06147,"ATP-binding cassette, subfamily B, bacterial",-,-,patB,PatB is an ABC transporter of Streptococcus pneumoniae that interacts with PatA to confer fluoroquinolone resistance..,fluoroquinolone antibiotic,antibiotic efflux
gene0008,Scaffold1,G_bin431,-,9868,6803,3066,efflux RND transporter permease subunit,COG0841,P,"acrB, mexB, adeJ, smeE, mtrD, cmeB",K18138,multidrug efflux pump,-,-,MexW,MexW is the RND-type membrane protein of the efflux complex MexVW-OprM.,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
gene0009,Scaffold1,G_bin431,-,10518,9877,642,efflux RND transporter periplasmic adaptor subunit,COG0845,M,"acrA, mexA, adeI, smeD, mtrC, cmeA",K03585,"membrane fusion protein, multidrug efflux system",-,-,MexV,MexV is the membrane fusion protein of the MexVW-OprM multidrug efflux complex.,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
gene0010,Scaffold1,G_bin431,+,10581,11717,1137,DEAD/DEAH box helicase,COG1201,L,lhr,K03724,ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-],-,-,-,-,-,-
gene0011,Scaffold1,G_bin431,-,13593,11719,1875,chloride channel protein,COG0517,S,-,-,-,-,-,-,-,-,-
gene0012,Scaffold1,G_bin431,+,13646,13936,291,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0013,Scaffold1,G_bin431,-,14558,13923,636,response regulator transcription factor,COG2197,T,"uvrY, gacA, varA",K07689,"two-component system, NarL family, invasion response regulator UvrY",-,-,-,-,-,-
gene0014,Scaffold1,G_bin431,-,15715,14555,1161,HAMP domain-containing protein,COG3851,T,uhpB,K07675,"two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]",-,-,-,-,-,-
gene0015,Scaffold1,G_bin431,-,16364,16170,195,-,-,-,-,-,-,-,-,-,-,-,-
gene0016,Scaffold1,G_bin431,+,16356,17003,648,pyrroloquinoline quinone biosynthesis protein PqqB,COG1235,S,pqqB,K06136,pyrroloquinoline quinone biosynthesis protein B,-,-,-,-,-,-
gene0017,Scaffold1,G_bin431,+,17000,17713,714,pyrroloquinoline-quinone synthase PqqC,COG5424,H,pqqC,K06137,pyrroloquinoline-quinone synthase [EC:1.3.3.11],-,-,-,-,-,-
gene0018,Scaffold1,G_bin431,+,17730,18008,279,pyrroloquinoline quinone biosynthesis peptide chaperone PqqD,ENOG4112213,H,pqqD,K06138,pyrroloquinoline quinone biosynthesis protein D,-,-,-,-,-,-
gene0019,Scaffold1,G_bin431,+,18005,19171,1167,pyrroloquinoline quinone biosynthesis protein PqqE,COG0535,S,pqqE,K06139,PqqA peptide cyclase [EC:1.21.98.4],-,-,-,-,-,-
gene0020,Scaffold1,G_bin431,+,19240,20253,1014,YihY/virulence factor BrkB family protein,COG1295,S,K07058,K07058,membrane protein,-,-,-,-,-,-
gene0021,Scaffold1,G_bin431,+,20351,20857,507,pyrroloquinoline quinone biosynthesis protein PqqE,COG0242,J,"PDF, def",K01462,peptide deformylase [EC:3.5.1.88],-,-,-,-,-,-
gene0022,Scaffold1,G_bin431,+,20985,22391,1407,Autoinducer 2 sensor kinase/phosphatase LuxQ,ENOG410XNMH,T,-,-,-,-,-,smeS,smeS is the protein kinase sensor component of a two component signal transduction system that includes smeR,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux
gene0023,Scaffold1,G_bin431,-,22955,22440,516,hypothetical protein,COG0537,F;G,-,-,-,-,-,-,-,-,-
gene0024,Scaffold1,G_bin431,-,23552,22956,597,hypothetical protein,COG1011,S,yihX,K20866,glucose-1-phosphatase [EC:3.1.3.10],-,-,-,-,-,-
gene0025,Scaffold1,G_bin431,-,24925,23741,1185,type III PLP-dependent enzyme,COG0019,E,"E4.1.1.17, ODC1, speC, speF",K01581,ornithine decarboxylase [EC:4.1.1.17],-,-,-,-,-,-
gene0026,Scaffold1,G_bin431,-,25938,24922,1017,threonylcarbamoyl-AMP synthase,COG0009,J,"tsaC, rimN, SUA5",K07566,L-threonylcarbamoyladenylate synthase [EC:2.7.7.87],-,-,-,-,-,-
gene0027,Scaffold1,G_bin431,-,27902,26016,1887,PDZ domain-containing protein,COG0265,O,NMA111,K22686,pro-apoptotic serine protease NMA111 [EC:3.4.21.-],-,-,-,-,-,-
