Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0001,Scaffold1,G_bin267,+,29,250,222,-,-,-,-,-,-,-,-,-,-,-,-
gene0002,Scaffold1,G_bin267,-,2030,1641,390,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0003,Scaffold1,G_bin267,-,2262,2125,138,-,-,-,-,-,-,-,-,-,-,-,-
gene0004,Scaffold1,G_bin267,-,2526,2278,249,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0005,Scaffold1,G_bin267,-,3288,2695,594,serine hydrolase,-,-,-,-,-,-,-,-,-,-,-
gene0006,Scaffold1,G_bin267,+,3268,3654,387,-,-,-,-,-,-,-,-,-,-,-,-
gene0007,Scaffold1,G_bin267,-,3982,3821,162,-,-,-,-,-,-,-,-,-,-,-,-
gene0009,Scaffold1,G_bin267,+,4625,5188,564,AAA family ATPase,ENOG4111IKQ,V,-,-,-,-,-,-,-,-,-
gene0010,Scaffold1,G_bin267,+,5200,6183,984,NAD(P)H-quinone oxidoreductase,COG0604,C,-,-,-,-,-,-,-,-,-
gene0011,Scaffold1,G_bin267,-,6623,6192,432,redox-sensitive transcriptional activator SoxR,COG0789,K,soxR,K13639,"MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR",-,-,Pseudomonas aeruginosa soxR,SoxR is a redox-sensitive transcriptional activator that induces expression of a small regulon that includes the RND efflux pump-encoding operon mexGHI-opmD. SoxR was shown to be activated by pyocyanin.,acridine dye;cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux;antibiotic target alteration
gene0012,Scaffold1,G_bin267,+,6655,7449,795,transketolase,COG3959,G,"E2.2.1.1, tktA, tktB",K00615,transketolase [EC:2.2.1.1],-,-,-,-,-,-
gene0013,Scaffold1,G_bin267,-,8283,7903,381,-,-,-,-,-,-,-,-,-,-,-,-
gene0014,Scaffold1,G_bin267,-,9665,8250,1416,glycoside hydrolase family 3 C-terminal domain-containing protein,COG1472,G,bglX,K05349,beta-glucosidase [EC:3.2.1.21],GH,GH3,-,-,-,-
gene0015,Scaffold1,G_bin267,+,9717,9884,168,-,-,-,-,-,-,-,-,-,-,-,-
gene0016,Scaffold1,G_bin267,-,10808,10275,534,helix-turn-helix transcriptional regulator,ENOG4112189,K,-,-,-,-,-,-,-,-,-
gene0017,Scaffold1,G_bin267,+,11424,12698,1275,TrpB-like pyridoxal phosphate-dependent enzyme,COG1350,E,trpB,K06001,tryptophan synthase beta chain [EC:4.2.1.20],-,-,-,-,-,-
gene0018,Scaffold1,G_bin267,+,12783,13787,1005,DUF4872 domain-containing protein,COG0243,C,-,-,-,-,-,-,-,-,-
gene0019,Scaffold1,G_bin267,+,13784,15856,2073,molybdopterin-dependent oxidoreductase,COG0243,C,-,-,-,-,-,-,-,-,-
gene0020,Scaffold1,G_bin267,+,15849,16538,690,class I SAM-dependent methyltransferase,COG2226,H,-,-,-,-,-,-,-,-,-
gene0021,Scaffold1,G_bin267,-,16647,16513,135,-,-,-,-,-,-,-,-,-,-,-,-
gene0022,Scaffold1,G_bin267,+,16646,17209,564,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0023,Scaffold1,G_bin267,+,17196,18182,987,BtrH N-terminal domain-containing protein,ENOG410XQJN,S,-,-,-,-,-,-,-,-,-
gene0024,Scaffold1,G_bin267,+,18179,19549,1371,AMP-binding protein,COG1541,Q,paaK,K01912,phenylacetate-CoA ligase [EC:6.2.1.30],-,-,-,-,-,-
gene0025,Scaffold1,G_bin267,+,19551,19799,249,MULTISPECIES: ferredoxin,COG0491,S,fer,K05337,ferredoxin,-,-,-,-,-,-
gene0026,Scaffold1,G_bin267,+,19807,21276,1470,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0027,Scaffold1,G_bin267,+,21362,22762,1401,4-hydroxyphenylacetate 3-hydroxylase,COG2368,Q,hpaB,K00483,4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9],-,-,-,-,-,-
gene0028,Scaffold1,G_bin267,+,22759,25791,3033,flavin reductase,COG0178,L,uvrA,K03701,excinuclease ABC subunit A,-,-,-,-,-,-
gene0029,Scaffold1,G_bin267,+,25794,26807,1014,AMP-binding protein,COG1541,Q,paaK,K01912,phenylacetate-CoA ligase [EC:6.2.1.30],-,-,-,-,-,-
gene0030,Scaffold1,G_bin267,+,26875,27810,936,MULTISPECIES: carbon-nitrogen hydrolase family protein,COG0388,S,-,-,-,-,-,-,-,-,-
gene0031,Scaffold1,G_bin267,+,27807,28577,771,carbon-nitrogen hydrolase family protein,-,-,-,-,-,-,-,-,-,-,-
gene0032,Scaffold1,G_bin267,+,28579,29760,1182,MULTISPECIES: tyrosine decarboxylase MfnA,COG0076,E,"mfnA, adc",K18933,tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11],-,-,-,-,-,-
gene0033,Scaffold1,G_bin267,+,29757,30608,852,carbon-nitrogen hydrolase family protein,COG0388,S,-,-,-,-,-,-,-,-,-
gene0034,Scaffold1,G_bin267,+,30623,31387,765,MULTISPECIES: ABC transporter permease,COG0842,V,ABC-2.P,K01992,ABC-2 type transport system permease protein,-,-,-,-,-,-
gene0035,Scaffold1,G_bin267,+,31392,32354,963,ABC transporter ATP-binding protein,ENOG4111GGH,S,ABC-2.A,K01990,ABC-2 type transport system ATP-binding protein,-,-,oleC,oleC is an ABC transporter isolated from Streptomyces antibioticus and is involved in oleandomycin secretion.,macrolide antibiotic,antibiotic efflux
gene0036,Scaffold1,G_bin267,+,32351,33724,1374,coproporphyrinogen III oxidase,COG0635,H,-,-,-,-,-,-,-,-,-
gene0037,Scaffold1,G_bin267,+,33721,34422,702,class I SAM-dependent methyltransferase,-,-,-,-,-,-,-,-,-,-,-
gene0038,Scaffold1,G_bin267,+,34422,35264,843,MULTISPECIES: carbon-nitrogen hydrolase family protein,COG0388,S,-,-,-,-,-,-,-,-,-
gene0039,Scaffold1,G_bin267,+,35276,36769,1494,radical SAM protein,COG1032,C,-,-,-,-,-,-,-,-,-
gene0040,Scaffold1,G_bin267,+,36766,37596,831,DNA alkylation repair protein,COG4912,L,-,-,-,-,-,-,-,-,-
gene0041,Scaffold1,G_bin267,+,37583,38635,1053,BtrH N-terminal domain-containing protein,ENOG410XQJN,S,-,-,-,-,-,-,-,-,-
gene0042,Scaffold1,G_bin267,+,38650,39045,396,MULTISPECIES: pentapeptide repeat-containing protein,COG1357,S,-,-,-,-,-,mfpA,mfpA is a qnr homolog and a pentapeptide repeat protein that confers resistance to fluoroquinolones in Mycolicibacterium smegmatis,fluoroquinolone antibiotic,antibiotic target protection
gene0043,Scaffold1,G_bin267,+,39061,40839,1779,carbamoyltransferase,COG2192,O,E2.1.3.-,K00612,carbamoyltransferase [EC:2.1.3.-],-,-,-,-,-,-
gene0044,Scaffold1,G_bin267,+,40915,41901,987,DUF4872 domain-containing protein,ENOG410XQJN,S,-,-,-,-,-,-,-,-,-
gene0045,Scaffold1,G_bin267,+,42592,42957,366,ester cyclase,-,-,-,-,-,-,-,-,-,-,-
gene0046,Scaffold1,G_bin267,+,43439,44827,1389,LuxR family transcriptional regulator,ENOG410ZHS4,K,-,-,-,-,-,-,-,-,-
gene0047,Scaffold1,G_bin267,+,45094,45732,639,MULTISPECIES: NAD(P)H-dependent oxidoreductase,COG1182,I,"acpD, azoR",K01118,FMN-dependent NADH-azoreductase [EC:1.7.1.17],-,-,-,-,-,-
gene0048,Scaffold1,G_bin267,+,45757,45879,123,-,-,-,-,-,-,-,-,-,-,-,-
gene0049,Scaffold1,G_bin267,+,46033,46470,438,3-dehydroquinate dehydratase,COG0757,E,"rifJ, asm23",K16021,5-deoxy-5-amino-3-dehydroquinate dehydratase,-,-,-,-,-,-
gene0050,Scaffold1,G_bin267,+,46611,47039,429,SRPBCC domain-containing protein,COG3832,S,-,-,-,-,-,-,-,-,-
gene0051,Scaffold1,G_bin267,+,47180,48727,1548,DHA2 family efflux MFS transporter permease subunit,ENOG410XNN3,P,-,-,-,-,-,emrY,emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.,tetracycline antibiotic,antibiotic efflux
gene0052,Scaffold1,G_bin267,+,49058,50242,1185,MULTISPECIES: cytochrome P450,COG2124,Q,-,-,-,-,-,-,-,-,-
gene0053,Scaffold2,G_bin267,-,551,36,516,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0054,Scaffold2,G_bin267,-,1894,617,1278,ATP-grasp domain-containing protein,COG0439,I,-,-,-,-,-,-,-,-,-
gene0055,Scaffold2,G_bin267,-,2898,1891,1008,DMT family transporter,-,-,-,-,-,-,-,-,-,-,-
gene0056,Scaffold2,G_bin267,-,4172,2895,1278,hypothetical protein,ENOG410Y9ZZ,S,-,-,-,-,-,-,-,-,-
gene0057,Scaffold2,G_bin267,-,5170,4232,939,branched-chain amino acid transaminase,COG0115,E,"E2.6.1.42, ilvE",K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42],-,-,-,-,-,-
gene0058,Scaffold2,G_bin267,-,5727,5167,561,hypothetical protein,ENOG4111KIE,S,-,-,-,-,-,-,-,-,-
gene0059,Scaffold2,G_bin267,+,5944,7257,1314,amino acid permease,COG0531,E,TC.APA,K03294,"basic amino acid/polyamine antiporter, APA family",-,-,-,-,-,-
