Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0001,Scaffold1,G_bin22,+,37,303,267,AAA family ATPase,COG0542,O,clpC,K03696,ATP-dependent Clp protease ATP-binding subunit ClpC,-,-,-,-,-,-
gene0002,Scaffold1,G_bin22,+,322,1377,1056,glycosyltransferase family 2 protein,-,-,-,-,-,-,-,-,-,-,-
gene0003,Scaffold1,G_bin22,-,2271,1402,870,A/G-specific adenine glycosylase,COG1194,L,mutY,K03575,A/G-specific adenine glycosylase [EC:3.2.2.31],-,-,-,-,-,-
gene0004,Scaffold1,G_bin22,+,2368,3123,756,MULTISPECIES: hypothetical protein,ENOG410ZXMQ,S,-,-,-,-,-,-,-,-,-
gene0005,Scaffold1,G_bin22,-,4178,3141,1038,DNA integrity scanning protein DisA,COG1623,L,disA,K07067,diadenylate cyclase [EC:2.7.7.85],-,-,-,-,-,-
gene0006,Scaffold1,G_bin22,-,4297,4172,126,-,-,-,-,-,-,-,-,-,-,-,-
gene0007,Scaffold1,G_bin22,-,5661,4294,1368,MULTISPECIES: DNA repair protein RadA,COG1066,O,"radA, sms",K04485,DNA repair protein RadA/Sms,-,-,-,-,-,-
gene0008,Scaffold1,G_bin22,-,6556,5852,705,methyltransferase domain-containing protein,ENOG410XSC0,S,-,-,-,-,-,-,-,-,-
gene0009,Scaffold1,G_bin22,-,7214,6576,639,VOC family protein,ENOG4111H3K,S,-,-,-,-,-,-,-,-,-
gene0010,Scaffold1,G_bin22,-,8097,7324,774,hypothetical protein,ENOG410ZV27,S,-,-,-,-,-,-,-,-,-
gene0011,Scaffold1,G_bin22,+,8128,9066,939,Ppx/GppA family phosphatase,COG0248,F;P,ppx-gppA,K01524,"exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",-,-,-,-,-,-
gene0012,Scaffold1,G_bin22,+,9104,9880,777,sugar phosphate isomerase/epimerase,COG1082,G,-,-,-,-,-,-,-,-,-
gene0013,Scaffold1,G_bin22,+,9877,10482,606,TetR family transcriptional regulator,ENOG4111QBX,K,-,-,-,-,-,-,-,-,-
gene0014,Scaffold1,G_bin22,-,11561,10569,993,unnamed protein product,ENOG4111PJI,S,-,-,-,-,-,-,-,-,-
gene0015,Scaffold1,G_bin22,+,11583,11708,126,-,-,-,-,-,-,-,-,-,-,-,-
gene0016,Scaffold1,G_bin22,+,11752,12468,717,ATP-binding cassette domain-containing protein,COG1131,V,ABC-2.A,K01990,ABC-2 type transport system ATP-binding protein,-,-,bcrA,bcrA is an ABC transporter found in Bacillus licheniformis that confers bacitracin resistance,peptide antibiotic,antibiotic efflux
gene0017,Scaffold1,G_bin22,+,12465,13202,738,ABC transporter permease,COG0842,V,ABC-2.P,K01992,ABC-2 type transport system permease protein,-,-,-,-,-,-
gene0018,Scaffold1,G_bin22,+,13258,14190,933,proline dehydrogenase family protein,COG0506,E,"PRODH, fadM, putB",K00318,proline dehydrogenase [EC:1.5.5.2],-,-,-,-,-,-
gene0019,Scaffold1,G_bin22,+,14201,15001,801,pyrroline-5-carboxylate reductase,COG0345,E,proC,K00286,pyrroline-5-carboxylate reductase [EC:1.5.1.2],-,-,-,-,-,-
gene0020,Scaffold1,G_bin22,+,15066,15416,351,acetoin utilization protein AcuC,COG0123,B;Q,acuC,K04768,acetoin utilization protein AcuC,-,-,-,-,-,-
gene0021,Scaffold1,G_bin22,+,15455,16684,1230,MULTISPECIES: RNB domain-containing ribonuclease,COG0557,K,-,-,-,-,-,-,-,-,-
gene0022,Scaffold1,G_bin22,+,16677,17207,531,adenosylcobinamide kinase /adenosylcobinamide-phosphate guanylyltransferase,COG2087,H,"cobP, cobU",K02231,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],-,-,-,-,-,-
gene0023,Scaffold1,G_bin22,-,18027,17257,771,adenosylcobinamide-GDP ribazoletransferase,-,-,"E2.7.8.26, cobS, cobV",K02233,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],-,-,-,-,-,-
gene0024,Scaffold1,G_bin22,-,19061,18024,1038,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,COG2038,H,"E2.4.2.21, cobU, cobT",K00768,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],-,-,-,-,-,-
gene0025,Scaffold1,G_bin22,+,19100,19630,531,2'-5' RNA ligase family protein,ENOG4112B5Y,S,-,-,-,-,-,-,-,-,-
gene0026,Scaffold1,G_bin22,+,19689,19958,270,Rho termination factor N-terminal domain-containing protein,ENOG411223C,S,-,-,-,-,-,-,-,-,-
gene0027,Scaffold1,G_bin22,-,20697,20020,678,MULTISPECIES: HAD-IA family hydrolase,COG0546,S,-,-,-,-,-,-,-,-,-
gene0028,Scaffold1,G_bin22,-,21680,20694,987,TIGR03557 family F420-dependent LLM class oxidoreductase,COG2141,C,-,-,-,-,-,-,-,-,-
gene0029,Scaffold1,G_bin22,+,21793,23745,1953,aconitate hydratase,COG1048,C,"ACO, acnA",K01681,aconitate hydratase [EC:4.2.1.3],-,-,-,-,-,-
gene0030,Scaffold1,G_bin22,+,23787,24497,711,Na+/H+ antiporter NhaA,COG3004,P,-,-,-,-,-,-,-,-,-
gene0031,Scaffold1,G_bin22,+,24505,25191,687,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0032,Scaffold1,G_bin22,+,25211,25540,330,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0033,Scaffold1,G_bin22,+,25559,26977,1419,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0034,Scaffold1,G_bin22,-,28465,26999,1467,HAD-IB family hydrolase,COG0560,E,serB-plsC,K15781,putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase [EC:3.1.3.3 2.3.1.51],-,-,-,-,-,-
gene0035,Scaffold1,G_bin22,+,28567,29205,639,4a-hydroxytetrahydrobiopterin dehydratase,ENOG4111T6B,S,"PCBD, phhB",K01724,4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96],-,-,-,-,-,-
gene0036,Scaffold1,G_bin22,-,30315,29281,1035,FHA domain-containing protein,ENOG41123EN,T,-,-,-,-,-,-,-,-,-
gene0037,Scaffold1,G_bin22,-,31164,30316,849,serine/threonine-protein phosphatase,COG0631,T,"prpC, phpP",K20074,PPM family protein phosphatase [EC:3.1.3.16],-,-,-,-,-,-
gene0038,Scaffold1,G_bin22,+,31364,31960,597,"cob(I)yrinic acid a,c-diamide adenosyltransferase",COG2096,S,"MMAB, pduO",K00798,cob(I)alamin adenosyltransferase [EC:2.5.1.17],-,-,-,-,-,-
gene0039,Scaffold1,G_bin22,+,31957,32922,966,transglycosylase SLT domain-containing protein,ENOG4111IMN,M,-,-,-,GH,GH23,-,-,-,-
gene0040,Scaffold1,G_bin22,-,33612,32932,681,Threonine/homoserine/homoserine lactone efflux protein,COG1280,E,-,-,-,-,-,-,-,-,-
gene0041,Scaffold1,G_bin22,-,34102,33656,447,DUF2550 family protein,ENOG41123H9,S,-,-,-,-,-,-,-,-,-
gene0042,Scaffold1,G_bin22,-,34519,34112,408,F0F1 ATP synthase subunit epsilon,COG0355,C,"ATPF1E, atpC",K02114,F-type H+-transporting ATPase subunit epsilon,-,-,-,-,-,-
gene0043,Scaffold2,G_bin22,+,60,1331,1272,hypothetical protein,COG1009,C,-,-,-,-,-,-,-,-,-
gene0044,Scaffold2,G_bin22,+,1340,2824,1485,NADH-quinone oxidoreductase subunit M,COG1008,C,nuoM,K00342,NADH-quinone oxidoreductase subunit M [EC:7.1.1.2],-,-,-,-,-,-
gene0045,Scaffold2,G_bin22,+,2838,4244,1407,NADH-quinone oxidoreductase subunit N,COG1007,C,nuoN,K00343,NADH-quinone oxidoreductase subunit N [EC:7.1.1.2],-,-,-,-,-,-
gene0046,Scaffold2,G_bin22,-,5188,4277,912,AEC family transporter,-,-,-,-,-,-,-,-,-,-,-
gene0047,Scaffold2,G_bin22,-,6232,5201,1032,substrate-binding domain-containing protein,COG1609,K,-,-,-,-,-,-,-,-,-
gene0048,Scaffold2,G_bin22,+,6363,6953,591,TRAP transporter small permease subunit,-,-,-,-,-,-,-,-,-,-,-
gene0049,Scaffold2,G_bin22,+,6950,8224,1275,TRAP transporter large permease subunit,COG1593,G,-,-,-,-,-,-,-,-,-
gene0050,Scaffold2,G_bin22,+,8293,9294,1002,DctP family TRAP transporter solute-binding subunit,COG1638,G,-,-,-,-,-,-,-,-,-
gene0051,Scaffold2,G_bin22,+,9291,10298,1008,phosphotriesterase-related protein,COG1735,S,"PTER, php",K07048,phosphotriesterase-related protein,-,-,-,-,-,-
gene0052,Scaffold2,G_bin22,+,10295,11149,855,shikimate dehydrogenase,COG0169,E,aroE,K00014,shikimate dehydrogenase [EC:1.1.1.25],-,-,-,-,-,-
gene0053,Scaffold2,G_bin22,+,11146,11616,471,type II 3-dehydroquinate dehydratase,COG0757,E,"aroQ, qutE",K03786,3-dehydroquinate dehydratase II [EC:4.2.1.10],-,-,-,-,-,-
gene0054,Scaffold2,G_bin22,+,11613,13412,1800,TIM barrel protein,COG1082,G,"HPD, hppD",K00457,4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27],-,-,-,-,-,-
gene0055,Scaffold2,G_bin22,-,14213,13437,777,helix-turn-helix domain-containing protein,COG1414,K,-,-,-,-,-,-,-,-,-
gene0056,Scaffold2,G_bin22,+,14304,15107,804,"protocatechuate 3,4-dioxygenase subunit beta",COG3485,Q,pcaH,K00449,"protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]",-,-,-,-,-,-
gene0057,Scaffold2,G_bin22,+,15104,15673,570,"protocatechuate 3,4-dioxygenase subunit alpha",COG3485,Q,pcaG,K00448,"protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]",-,-,-,-,-,-
gene0058,Scaffold2,G_bin22,-,15813,15649,165,-,-,-,-,-,-,-,-,-,-,-,-
gene0059,Scaffold2,G_bin22,+,15821,15943,123,-,-,-,-,-,-,-,-,-,-,-,-
gene0060,Scaffold2,G_bin22,-,16888,15944,945,amidohydrolase,ENOG410YARG,S,K07045,K07045,uncharacterized protein,-,-,-,-,-,-
gene0061,Scaffold2,G_bin22,+,16989,17303,315,winged helix-turn-helix transcriptional regulator,ENOG4111W62,K,-,-,-,-,-,-,-,-,-
gene0062,Scaffold2,G_bin22,+,17323,18303,981,SRPBCC domain-containing protein,ENOG4111PTU,S,-,-,-,-,-,-,-,-,-
gene0063,Scaffold2,G_bin22,-,18693,18313,381,type II toxin-antitoxin system VapC family toxin,ENOG410ZIMN,S,-,-,-,-,-,-,-,-,-
gene0064,Scaffold2,G_bin22,-,18941,18690,252,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0065,Scaffold2,G_bin22,+,19100,20803,1704,carbon starvation protein A,COG1966,T,cstA,K06200,carbon starvation protein,-,-,-,-,-,-
gene0066,Scaffold2,G_bin22,+,20800,21075,276,hypothetical protein,ENOG4111YT2,S,-,-,-,-,-,-,-,-,-
gene0067,Scaffold2,G_bin22,+,21066,22031,966,TRC40/GET3/ArsA family transport-energizing ATPase,COG0003,P,"arsA, ASNA1, GET3",K01551,arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-],-,-,-,-,-,-
gene0068,Scaffold2,G_bin22,+,22036,23913,1878,CBS domain-containing protein,COG2905,T,K07182,K07182,CBS domain-containing protein,-,-,-,-,-,-
gene0069,Scaffold2,G_bin22,+,23910,24599,690,3'-5' exonuclease,COG0847,L,dnaQ,K02342,DNA polymerase III subunit epsilon [EC:2.7.7.7],-,-,-,-,-,-
gene0070,Scaffold2,G_bin22,+,24853,25473,621,isochorismatase,COG1335,Q,-,-,-,-,-,-,-,-,-
gene0071,Scaffold2,G_bin22,-,26974,25916,1059,-,-,-,-,-,-,-,-,-,-,-,-
gene0072,Scaffold3,G_bin22,+,54,782,729,-,-,-,-,-,-,-,-,-,-,-,-
gene0073,Scaffold3,G_bin22,-,1872,757,1116,phosphate ABC transporter substrate-binding protein PstS,COG0226,P,pstS,K02040,phosphate transport system substrate-binding protein,-,-,-,-,-,-
gene0074,Scaffold3,G_bin22,-,2313,2056,258,-,-,-,-,-,-,-,-,-,-,-,-
gene0075,Scaffold3,G_bin22,-,3674,2310,1365,extracellular solute-binding protein,COG1653,G,ABC.MS.S,K02027,multiple sugar transport system substrate-binding protein,-,-,-,-,-,-
gene0076,Scaffold3,G_bin22,-,4972,3764,1209,DUF4032 domain-containing protein,ENOG410XRBE,S,-,-,-,-,-,-,-,-,-
gene0077,Scaffold3,G_bin22,-,5788,4982,807,carbohydrate kinase,COG0524,G,"E2.7.1.4, scrK",K00847,fructokinase [EC:2.7.1.4],-,-,-,-,-,-
