Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0001,Scaffold1,G_bin302,-,1232,525,708,cutinase family protein,-,-,-,-,-,CE,CE5,-,-,-,-
gene0002,Scaffold1,G_bin302,+,1432,2373,942,esterase family protein,COG0627,S,fbp,K18851,diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase [EC:2.3.1.20 2.3.1.122],CE,CE1,-,-,-,-
gene0003,Scaffold1,G_bin302,-,3146,2394,753,MBL fold metallo-hydrolase,COG0491,S,-,-,-,-,-,-,-,-,-
gene0004,Scaffold1,G_bin302,-,4629,3193,1437,ornithine decarboxylase,COG1982,E,speA,K01585,arginine decarboxylase [EC:4.1.1.19],-,-,-,-,-,-
gene0005,Scaffold1,G_bin302,+,4707,7037,2331,nitrate reductase,COG0243,C,-,-,-,-,-,-,-,-,-
gene0006,Scaffold1,G_bin302,+,7034,7516,483,hypothetical protein,ENOG4112028,S,-,-,-,-,-,-,-,-,-
gene0007,Scaffold1,G_bin302,-,7870,7520,351,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0008,Scaffold1,G_bin302,-,8436,7867,570,type 1 glutamine amidotransferase,COG0693,S,pfpI,K05520,protease I [EC:3.5.1.124],-,-,-,-,-,-
gene0009,Scaffold1,G_bin302,+,8582,9580,999,hypothetical protein,ENOG410YYWA,S,-,-,-,-,-,-,-,-,-
gene0010,Scaffold1,G_bin302,+,9595,9891,297,hypothetical protein,ENOG410Z3RK,S,-,-,-,-,-,-,-,-,-
gene0011,Scaffold1,G_bin302,-,10153,9884,270,hypothetical protein,ENOG410ZHBT,S,-,-,-,-,-,-,-,-,-
gene0012,Scaffold1,G_bin302,-,11643,10156,1488,cytochrome b/b6 domain-containing protein,COG2041,S,-,-,-,-,-,-,-,-,-
gene0013,Scaffold1,G_bin302,-,12071,11643,429,oxidoreductase,ENOG410ZHM5,S,-,-,-,-,-,-,-,-,-
gene0014,Scaffold1,G_bin302,-,12949,12068,882,Rieske 2Fe-2S domain-containing protein,ENOG4111GYA,S,-,-,-,-,-,-,-,-,-
gene0015,Scaffold1,G_bin302,-,13506,12970,537,DUF1360 domain-containing protein,ENOG4111QNH,S,-,-,-,-,-,-,-,-,-
gene0016,Scaffold1,G_bin302,-,13803,13513,291,hemophore-related protein,-,-,-,-,-,-,-,-,-,-,-
gene0017,Scaffold1,G_bin302,+,13946,14638,693,cutinase family protein,-,-,-,-,-,CE,CE5,-,-,-,-
gene0018,Scaffold1,G_bin302,+,14635,16395,1761,glycoside hydrolase family 15 protein,COG3387,G,-,-,-,GH,GH15,-,-,-,-
gene0019,Scaffold1,G_bin302,-,17942,16416,1527,glutathione-dependent formaldehyde dehydrogenase,COG1063,E,-,-,-,-,-,-,-,-,-
gene0020,Scaffold1,G_bin302,+,17973,18107,135,manganese catalase family protein,COG3546,P,K07217,K07217,Mn-containing catalase,-,-,-,-,-,-
gene0021,Scaffold1,G_bin302,+,18118,18252,135,manganese catalase family protein,COG3546,P,K07217,K07217,Mn-containing catalase,-,-,-,-,-,-
gene0022,Scaffold1,G_bin302,-,18523,18320,204,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0023,Scaffold1,G_bin302,+,18668,18820,153,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0024,Scaffold1,G_bin302,-,19377,18877,501,hemerythrin domain-containing protein,ENOG4111JN8,S,-,-,-,-,-,-,-,-,-
gene0025,Scaffold1,G_bin302,+,19536,21044,1509,FAD-dependent oxidoreductase,COG0665,E,-,-,-,-,-,-,-,-,-
gene0026,Scaffold1,G_bin302,+,21081,21515,435,pyridoxamine 5'-phosphate oxidase family protein,COG3576,S,K07006,K07006,uncharacterized protein,-,-,-,-,-,-
gene0027,Scaffold1,G_bin302,+,21564,21770,207,DUF2795 domain-containing protein,-,-,-,-,-,-,-,-,-,-,-
gene0028,Scaffold1,G_bin302,-,22567,21779,789,RNA polymerase sigma factor SigF,COG1191,K,sigB,K03090,RNA polymerase sigma-B factor,-,-,-,-,-,-
gene0029,Scaffold1,G_bin302,-,23253,22564,690,hypothetical protein,COG2172,T,-,-,-,-,-,-,-,-,-
